CENTERS:2
LABEL_DICT:{0= 0, 1= 1}
POINTS/LABELS: 
300.8;310.3;36.1;0
303.6;311.8;44.8;1
298.3;307.9;42.0;0
303.3;311.3;33.7;0
302.4;310.4;23.9;0
300.5;309.9;45.9;1
297.7;309.7;51.1;0
303.7;312.7;51.1;0
300.0;309.6;36.2;0
297.4;308.3;34.6;0
299.7;309.2;40.6;0
300.3;311.7;33.6;0
303.6;313.0;38.2;0
302.4;311.7;36.8;0
302.0;311.0;45.9;0
300.6;310.9;37.9;0
297.8;309.7;49.2;0
298.3;308.3;45.5;0
300.6;310.4;37.7;0
299.6;310.8;40.8;0
298.8;309.3;35.1;0
299.2;308.5;46.5;0
303.1;311.2;40.1;0
298.9;309.6;34.2;0
303.7;312.7;53.9;0
298.5;308.7;43.9;0
297.7;307.5;43.3;0
299.1;310.4;54.5;0
301.7;310.7;25.9;0
297.5;308.9;43.5;0
297.8;308.4;32.5;0
299.8;309.6;43.1;0
303.0;311.2;45.7;0
303.8;312.7;33.4;0
298.6;309.5;52.2;0
301.6;310.8;34.1;0
302.5;311.9;57.5;0
298.0;308.2;42.6;0
302.3;311.4;41.8;0
301.6;310.5;49.3;0
302.3;311.7;28.9;0
298.8;309.2;48.6;0
298.6;309.6;62.5;0
298.1;308.7;32.9;0
298.5;309.5;38.1;0
298.8;309.1;52.5;0
303.6;312.2;30.7;0
301.8;310.7;45.7;0
298.1;307.5;33.1;0
299.1;308.5;39.8;0
302.3;311.2;24.4;0
298.8;310.6;33.3;0
303.8;312.9;23.7;0
300.1;311.3;33.8;0
300.6;309.8;42.9;0
300.8;311.7;31.3;0
300.3;309.5;31.4;0
299.1;310.0;49.5;0
299.2;309.0;36.3;0
298.9;308.6;45.4;0
297.3;308.4;52.1;0
301.0;312.2;35.9;0
300.9;310.7;43.3;0
298.8;308.8;46.8;0
299.0;310.3;45.0;0
299.6;310.9;46.3;0
299.7;309.1;27.8;0
298.5;309.8;35.1;0
301.3;311.0;40.8;0
300.5;309.3;30.5;0
303.4;312.7;48.4;0
297.0;307.8;34.1;0
301.8;310.6;46.3;0
300.7;309.6;24.8;0
300.7;309.6;49.8;0
299.7;311.2;52.1;0
295.9;306.6;41.1;0
301.7;311.0;28.7;0
297.6;308.3;29.1;0
298.7;308.4;33.3;0
297.3;308.4;38.2;0
295.5;306.2;48.9;0
303.3;312.6;47.1;0
302.4;311.2;40.8;0
301.3;311.0;47.7;0
300.5;310.0;43.5;0
301.3;310.4;48.3;0
300.4;309.7;35.7;0
297.0;307.8;39.9;0
300.3;311.5;32.2;0
299.9;311.3;27.5;0
300.8;311.7;45.8;0
298.2;308.8;41.2;0
296.8;307.8;39.5;0
300.4;309.7;42.5;0
302.3;310.8;47.3;1
297.9;309.1;32.0;0
299.9;311.2;35.5;0
300.2;311.3;36.9;0
299.8;309.9;36.6;0
296.8;307.9;56.5;0
304.0;313.1;39.5;0
303.6;312.4;16.8;0
300.2;311.6;35.7;0
301.3;311.3;42.5;0
299.5;309.1;47.8;0
297.9;307.7;44.4;0
300.3;311.7;36.8;0
